model,seed,perturbation,acc,macro_f1,delta_acc_vs_full,delta_macro_f1_vs_full
film,43,high_0.30,0.1734006734006734,0.061242211170182366,-0.5303030303030303,-0.6451755052475341
film,43,high_0.50,0.16666666666666666,0.04775687409551375,-0.5370370370370371,-0.6586608423222027
film,43,band_0.15_0.30,0.16666666666666666,0.047619047619047616,-0.5370370370370371,-0.6587986687986689
film,43,band_0.30_0.50,0.16666666666666666,0.047619047619047616,-0.5370370370370371,-0.6587986687986689
film,43,band_0.50_0.75,0.16666666666666666,0.0476878612716763,-0.5370370370370371,-0.6587298551460401
film,43,blur_light,0.3552188552188552,0.3323294334321312,-0.3484848484848485,-0.3740882829855852
film,43,blur_heavy,0.22053872053872053,0.1367224854783423,-0.4831649831649832,-0.5696952309393741
film,43,downsample_x2,0.622895622895623,0.6297924213141192,-0.08080808080808077,-0.07662529510359728
film,43,downsample_x4,0.4393939393939394,0.39986626614520215,-0.26430976430976433,-0.3065514502725143
film,43,amplitude_noise_0.05,0.6835016835016835,0.6869839661298215,-0.02020202020202022,-0.019433750287894958
film,43,amplitude_noise_0.10,0.6835016835016835,0.6876028589087319,-0.02020202020202022,-0.018814857508984595
film,43,phase_noise_0.05,0.6784511784511784,0.6819544731595886,-0.025252525252525304,-0.024463243258127876
film,43,phase_noise_0.10,0.6835016835016835,0.6853720404682556,-0.02020202020202022,-0.02104567594946083
film,44,full,0.6952861952861953,0.6971495277260403,0.0,0.0
film,44,low_0.15,0.37373737373737376,0.3628075299727309,-0.32154882154882153,-0.3343419977533094
film,44,low_0.30,0.5538720538720538,0.563442649093477,-0.14141414141414144,-0.13370687863256336
film,44,low_0.50,0.6346801346801347,0.639220056021132,-0.06060606060606055,-0.057929471704908364
film,44,high_0.30,0.1717171717171717,0.060681940287051955,-0.5235690235690236,-0.6364675874389883
film,44,high_0.50,0.16666666666666666,0.047619047619047616,-0.5286195286195287,-0.6495304801069928
film,44,band_0.15_0.30,0.16666666666666666,0.047619047619047616,-0.5286195286195287,-0.6495304801069928
film,44,band_0.30_0.50,0.16666666666666666,0.047619047619047616,-0.5286195286195287,-0.6495304801069928
film,44,band_0.50_0.75,0.16666666666666666,0.047619047619047616,-0.5286195286195287,-0.6495304801069928
film,44,blur_light,0.47474747474747475,0.48219213460086513,-0.22053872053872053,-0.2149573931251752
film,44,blur_heavy,0.24074074074074073,0.18429952073758402,-0.4545454545454546,-0.5128500069884563
film,44,downsample_x2,0.6599326599326599,0.6655452626655133,-0.03535353535353536,-0.03160426506052705
film,44,downsample_x4,0.5387205387205387,0.5506699726864331,-0.15656565656565657,-0.1464795550396072
film,44,amplitude_noise_0.05,0.664983164983165,0.6689556853657054,-0.030303030303030276,-0.028193842360334953
film,44,amplitude_noise_0.10,0.6565656565656566,0.660164061752059,-0.03872053872053871,-0.036985465973981335
film,44,phase_noise_0.05,0.6784511784511784,0.6823906808766115,-0.01683501683501687,-0.014758846849428853
film,44,phase_noise_0.10,0.6750841750841751,0.6785174928182212,-0.02020202020202022,-0.018632034907819173
baseline,42,full,0.696969696969697,0.6988608462017658,0.0,0.0
baseline,42,low_0.15,0.5084175084175084,0.505449888005061,-0.18855218855218858,-0.19341095819670484
baseline,42,low_0.30,0.6195286195286195,0.620440263918615,-0.07744107744107753,-0.07842058228315085
baseline,42,low_0.50,0.6784511784511784,0.6780444026731428,-0.0185185185185186,-0.020816443528622997
baseline,42,high_0.30,0.1717171717171717,0.057829494125029336,-0.5252525252525253,-0.6410313520767364
